code,name,companyCode_code,controllingArea
14MO,COCOA MIDDLE OFFICE,GB14,GBV3
14MP,MCL PENSION,GB14,GBV3
14NR,NON-FERROUS,GB14,GBV3
14OM,Office Management,GB14,GBV3
14PA,PROMINENT EUROPE 1,GB14,GBV3
14PB,PLB,GB14,GBV3
14PC,PCC A/C CONTROL,GB14,GBV3
14PJ,HR FOR EUROPE & CIS,GB14,GBV3
14PN,D.B PENSION,GB14,GBV3
14RD,Biz Dev & Res,GB14,GBV3
14RE,CAPITAL & RETAINED E,GB14,GBV3
14RM,APPAREL3,GB14,GBV3
14RS,COKING COAL,GB14,GBV3
14RT,APPAREL,GB14,GBV3
14SJ,NUCLEAR FUEL & COAL,GB14,GBV3
14SM,PAUL SMITH,GB14,GBV3
14SN,BRAND MARKETING 1,GB14,GBV3
14SO,BRAND MARKETING 2,GB14,GBV3
14SR,BRAND MARKETING 3,GB14,GBV3
14ST,ETEL,GB14,GBV3
14TL,GENERAL A/C CONTROL,GB14,GBV3
14UA,MEAT PRODUCTS,GB14,GBV3
14UF,MEAT PROCESSED FOOD,GB14,GBV3
14UY,LEGAL,GB14,GBV3
14UZ,AA & RM,GB14,GBV3
14VI,RAWMATERIAL＆WORKWEAR,GB14,GBV3
14VK,AUTOMOBILE,GB14,GBV3
14WA,PLANT PRJ & INFRA,GB14,GBV3
14WE,WINCH ENERGY,GB14,GBV3
14X1,FUND CONTROL-CONS,GB14,GBV3
14X2,GENERAL ADMINIS-CONS,GB14,GBV3
14X3,GENERAL A/C CON-CONS,GB14,GBV3
14X4,CAPITAL & RETAI-CONS,GB14,GBV3
14XA,PROMINENT EUROP-CONS,GB14,GBV3
14XB,AUTOMOBILE-CONS,GB14,GBV3
14XC,PLB-CONS,GB14,GBV3
14XF,ETEL-CONS,GB14,GBV3
14XI,FIRST RESPONSE-CONS,GB14,GBV3
14XK,KILLICK AEROSPA-CONS,GB14,GBV3
14XM,CARMONEY-CONS,GB14,GBV3
14XT,PAUL SMITH-CONS,GB14,GBV3
14XU,SOLAR POWER ASS-CONS,GB14,GBV3
14XV,WATER & ENVIRONMENT,GB14,GBV3
14XX,ITOCHU FIBRE LI-CONS,GB14,GBV3
14XZ,DTM,GB14,GBV3
14YC,AFFLIATES CONTROL,GB14,GBV3
14YU,Energy,GB14,GBV3
14YY,OILS & FATS,GB14,GBV3
14ZA,CHIEF EXECTIVE FOR E,GB14,GBV3
14ZZ,CORPORATE PLANNING,GB14,GBV3
16BK,OEM,FR16,FRV3
